@id,@lon,@lat,name,addr:street,addr:city,addr:country
52218319,-8.4313890,54.9911110,Edernishfree,,,
52218332,-6.4067815,52.7979128,Coolalug Bridge,,,
52218335,-7.4194440,52.9847220,Trumra,,,
52218337,-9.4784553,52.7368313,Coolnacreehaun Bridge,,,
52218341,-9.9688890,53.8113890,Maum,,,
52218343,-6.2416670,53.5722220,Balrickard,,,
52218346,-7.4269440,53.4113890,Clonyhague,,,
52218350,-9.1008330,52.2341670,Inchantatane,,,
52218358,-7.1916289,55.1520654,Glencaw,,,
52218365,-7.2649983,54.1151798,Lislea,,,
52218368,-8.1700962,51.9142741,Midleton,,,
52218944,-10.4572220,52.1552780,Clogher,,,
52218951,-6.3092697,53.8183024,Milltown,,,
52218957,-7.9769181,51.9858476,Inch,,,
52218962,-9.8611110,51.9758330,Boheeskil,,,
52218969,-7.0213890,52.1997220,Rossduff,,,
52218977,-9.7469440,52.0588890,Shannera Lower,,,
52218980,-7.3387063,53.7330778,Rockland,,,
52218981,-6.8627891,52.2804308,Burkestown Cross Roads,,,
52218982,-9.0630561,52.4944440,Ardagh,,,
52218985,-8.3962666,52.1439848,Ballyhooly,,,
52218991,-6.9608571,52.3477510,Oldcourt,,,
52218993,-6.4952889,52.5897916,Ferns,,,
52218994,-7.7777780,54.8513890,Cloghroe,,,
52218997,-7.9171086,52.9455658,Ryan’s Cross Roads,,,
52218998,-8.2765168,52.9243713,Dromineer,,,
52218999,-7.6376345,52.9988939,Ballinrally,,,
52219000,-9.5874123,53.2408659,Pointe,,,
52219001,-6.4541965,53.2360108,Brittas,,,
52219003,-6.6861147,53.2911753,Clane,,,
52219005,-9.1680560,52.1969440,Rascalstreet,,,
52219006,-7.7075414,54.9721072,Lubber,,,
52219007,-7.3105560,55.2927780,Figart Upper,,,
52219009,-8.8788366,52.7104544,Shannon,,,
52219010,-7.1499661,53.0160548,Stradbally,,,
52219012,-9.7867881,52.1061973,Killorglin,,,
52219013,-7.2852780,55.3363890,Urbalreagh,,,
52219015,-9.3938890,52.1202780,Inchicorrigane,,,
52219016,-9.2967956,51.9883463,Cloonkeen,,,
52219019,-7.1671207,53.7500237,Millbrook,,,
52219022,-8.9813018,51.6077299,Ballynavar Bridge,,,
52219029,-9.4500000,52.0500000,Woodford,,,
52219033,-7.2567099,55.1956944,Whitefield,,,
52219040,-8.3500000,53.5333330,Kilmore,,,
52219047,-9.6602780,52.1583330,Rusheen,,,
